,price,title,location,size,Ogrzewanie,Piętro,Czynsz,Stan wykończenia,Rynek,Forma własności,Dostępne od,Typ ogłoszeniodawcy,Informacje dodatkowe,Unnamed: 13,Budynek i materiały - ,Wyposażenie - ,neighborhood
75,960 000 zł,Mieszkanie na sprzedaż,"ul. Bluszczowa, Marysin Wawerski, Wawer, Warszawa, mazowieckie",62.28m²,miejskie,3/5,800 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"balkon
taras
garaż/miejsce parkingowe",,,,Wawer
76,2 372 000 zł,Mieszkanie na sprzedaż,"ul. Antoniego Edwarda Odyńca, Wierzbno, Mokotów, Warszawa, mazowieckie",85.05m²,miejskie,1/4,0,do zamieszkania,wtórny,brak informacji,2025-03-03,biuro nieruchomości,pom. użytkowe,,,,Mokotów
77,790 000 zł,Mieszkanie na sprzedaż,"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",56m²,miejskie,1/3,800 zł,do zamieszkania,wtórny,pełna własność,brak informacji,biuro nieruchomości,"balkon
taras
garaż/miejsce parkingowe",,,,Białołęka
78,850 000 zł,Mieszkanie na sprzedaż,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",47.5m²,miejskie,7/7,780 zł,do zamieszkania,wtórny,brak informacji,brak informacji,biuro nieruchomości,"balkon
pom. użytkowe",,,,Północ
79,1 220 000 zł,Mieszkanie na sprzedaż,"Natolin, Ursynów, Warszawa, mazowieckie",85.2m²,miejskie,3/4,1 200 zł,do zamieszkania,wtórny,pełna własność,2025-01-28,biuro nieruchomości,"piwnica
oddzielna kuchnia
pom. użytkowe",,,,Ursynów
80,1 320 000 zł,Mieszkanie na sprzedaż,"ul. Adama Branickiego 18, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",70m²,brak informacji,2/4,brak informacji,brak informacji,wtórny,pełna własność,brak informacji,prywatny,"balkon
garaż/miejsce parkingowe",,,,Wilanów
81,Price not available,Mieszkanie na sprzedaż,"ul. Żupnicza, Kamionek, Praga-Południe, Warszawa, mazowieckie",50.69m²,brak informacji,parter/8,brak informacji,do wykończenia,pierwotny,pełna własność,2026-02-15,deweloper,"ogródek
garaż/miejsce parkingowe",,,,Południe
82,3 310 000 zł,Mieszkanie na sprzedaż,"ul. Białego Dębu, Stegny, Mokotów, Warszawa, mazowieckie",132.11m²,brak informacji,1/2,brak informacji,do wykończenia,pierwotny,pełna własność,2026-05-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Mokotów
83,655 690 zł,Mieszkanie na sprzedaż,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",55.1m²,brak informacji,1/5,brak informacji,do wykończenia,pierwotny,pełna własność,2026-02-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Rembertów
84,Price not available,Mieszkanie na sprzedaż,"ul. Jagiellońska, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",47.32m²,brak informacji,4/7,brak informacji,do wykończenia,pierwotny,pełna własność,2026-05-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Północ
85,960 000 zł,Mieszkanie na sprzedaż,"ul. Bluszczowa, Marysin Wawerski, Wawer, Warszawa, mazowieckie",62.28m²,miejskie,3/5,800 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"balkon
taras
garaż/miejsce parkingowe",,,,Wawer
86,2 372 000 zł,Mieszkanie na sprzedaż,"ul. Antoniego Edwarda Odyńca, Wierzbno, Mokotów, Warszawa, mazowieckie",85.05m²,miejskie,1/4,0,do zamieszkania,wtórny,brak informacji,2025-03-03,biuro nieruchomości,pom. użytkowe,,,,Mokotów
87,790 000 zł,Mieszkanie na sprzedaż,"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",56m²,miejskie,1/3,800 zł,do zamieszkania,wtórny,pełna własność,brak informacji,biuro nieruchomości,"balkon
taras
garaż/miejsce parkingowe",,,,Białołęka
88,850 000 zł,Mieszkanie na sprzedaż,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",47.5m²,miejskie,7/7,780 zł,do zamieszkania,wtórny,brak informacji,brak informacji,biuro nieruchomości,"balkon
pom. użytkowe",,,,Północ
89,890 000 zł,Mieszkanie na sprzedaż,"al. Aleja ""Solidarności"" 161, Mirów, Wola, Warszawa, mazowieckie",56.7m²,miejskie,10/10,1 100 zł,do remontu,wtórny,brak informacji,brak informacji,prywatny,"balkon
piwnica",,,,Wola
90,699 999 zł,Mieszkanie na sprzedaż,"ul. Odkryta, Nowodwory, Białołęka, Warszawa, mazowieckie",43.03m²,brak informacji,parter,brak informacji,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"ogródek
taras
oddzielna kuchnia",,,,Białołęka
91,Price not available,Mieszkanie na sprzedaż,"ul. Żupnicza, Kamionek, Praga-Południe, Warszawa, mazowieckie",109.68m²,brak informacji,parter/8,brak informacji,do wykończenia,pierwotny,pełna własność,2026-02-15,deweloper,"ogródek
garaż/miejsce parkingowe",,,,Południe
92,886 000 zł,Mieszkanie na sprzedaż,"ul. Powązkowska 68, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",55.4m²,miejskie,4/4,1 200 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,brak informacji,prywatny,"balkon
garaż/miejsce parkingowe
piwnica",,,,Żoliborz
